Rank,,,Name,WSL Finals,1 Artboard,2 Artboard,3 Artboard,4 Artboard,5 Artboard,6 Artboard,7 Artboard,8 Artboard,9 Artboard,Total Points
1,-,,John John FlorenceHawaii,1,"7,800","4,745","3,320","1,330","7,800","7,800","10,000","4,745","3,320","49,530"
2,3,,Italo FerreiraBrazil,2,"1,330","4,745","3,320","1,330","3,320","10,000","1,330","10,000","3,320","37,365"
3,1,,Griffin ColapintoUnited States,3,"3,320","3,320","10,000","7,800","4,745","1,330","3,320","6,085","10,000","46,600"
4,1,,Jack RobinsonAustralia,4,"1,330","10,000","3,320","1,330","10,000","1,330","4,745","3,320","6,085","40,130"
5,1,,Ethan EwingAustralia,5,"4,745","3,320","7,800","4,745","3,320","3,320","3,320","4,745","6,085","38,080"
6,-,,Yago DoraBrazil,,"3,320","1,330","3,320","3,320",265,"4,745","7,800","7,800","4,745","36,380"
7,-,,Gabriel MedinaBrazil,,"1,330","1,330","6,085","1,330","3,320","6,085","6,085","4,745","4,745","33,725"
8,-,,Jordy SmithSouth Africa,,"4,745","6,085","1,330","1,330","4,745","3,320","4,745","6,085","1,330","32,385"
9,-,,Rio WaidaIndonesia,,265,"3,320","3,320","6,085",265,"4,745","3,320","3,320","7,800","32,175"
10,-,,Crosby ColapintoUnited States,,"3,320","1,330","6,085","3,320","1,330","3,320","4,745","3,320","3,320","28,760"
11,-,,Jake MarshallUnited States,,"3,320","3,320","4,745","4,745","3,320","3,320","3,320","1,330","3,320","27,420"
12,-,,Ramzi BoukhiamMorocco,,"3,320*",265,"4,745","1,330","3,320","6,085","1,330","3,320","3,320","26,770"
13,-,,Ryan CallinanAustralia,,"1,330","6,085",265,"3,320","1,330","4,745","3,320","3,320","3,320","26,770"
14,-,,Barron MamiyaHawaii,,"10,000","1,330","1,330","3,320",265,"3,320","1,330","1,330","4,745","26,705"
15,-,,Cole HoushmandUnited States,,265,"1,330","3,320","10,000","1,330","3,320","1,330","3,320","1,330","25,280"
16,-,,Connor OLearyJapan,,"6,085","3,320","1,330","1,330","1,330","1,330","3,320","4,745","3,320","24,780"
17,-,,Kanoa IgarashiJapan,,"1,330","7,800","3,320","3,320","1,330","3,320","1,330","1,330","1,330","23,080"
18,-,,Imaikalani deVaultHawaii,,"4,745","1,330","3,320","1,330","4,745","1,330","1,330","1,330","4,745","22,875"
19,-,,Seth MonizHawaii,,"1,330","4,745","1,330",265,"6,085","1,330","1,330","3,320","3,320","22,790"
20,-,,Matthew McGillivraySouth Africa,,"3,320","1,330","1,330","6,085","1,330","1,330","6,085","1,330","1,330","22,140"
21,-,,Liam OBrienAustralia,,"3,320","4,745","1,330","3,320","3,320","1,330","1,330","3,320","1,330","22,015"
22,-,,Leonardo FioravantiItaly,,"4,745","1,330","4,745","1,330","1,330","1,330","3,320","1,330","1,330","19,460"
23,-,,Samuel PupoBrazil,,"1,330","1,330","1,330","3,320","4,745",-,-,-,-,"10,725"
24,-,,Ian GentilHawaii,,"6,085","1,330",265,"1,330","1,330",-,-,-,-,"10,075"
25,-,,Caio IbelliBrazil,,265,"1,330","1,330","3,320","3,320",-,-,-,-,"9,300"
26,-,,Miguel PupoBrazil,,"1,330","3,320","1,330","1,330","3,320",-,-,-,-,"9,300"
27,-,,Kade MatsonUnited States,,"1,330","1,330","1,330","4,745","1,330",-,-,-,-,"8,735"
28,-,,Jacob WillcoxAustralia,,"1,330","3,320","1,330","1,330","1,330",-,-,-,-,"7,310"
29,-,,Frederico MoraisPortugal,,"1,330","3,320","1,330","1,330","1,330",-,-,-,-,"7,310"
30,-,,Callum RobsonAustralia,,"3,320",265,"1,330",265,"1,330",-,-,-,-,"6,245"
31,-,,Kelly SlaterUnited States,,"1,330","1,330",-*,"1,330","1,330",-,-,-,-,"5,320"
32,-,,Eli HannemanHawaii,,"1,330","1,330","1,330",265,"1,330",-,-,-,-,"5,320"
33,-,,Deivid SilvaBrazil,,"1,330","1,330","1,330",265,"1,330",-,-,-,-,"5,320"
34,-,,Joao ChiancaBrazil,,265,265,265,265,265,-,-,-,-,"1,060"
35,-,,Filipe ToledoBrazil,,265*,-,-,-,-,-,-,-,-,265